epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19511,1.50038,2.70415,2.67063,0.00379,0.98684,0.52206,0.20363,0.67642,2.90005,2.41242,0.00028,0.00028,0.00028
2,10.012,1.02961,2.00008,2.33843,0.00384,1,0.84078,0.5358,0.658,2.7964,2.17432,0.000574258,0.000574258,0.000574258
3,14.488,0.98595,1.26462,2.14801,1,0.47914,0.91361,0.63613,0.6673,2.53149,2.2374,0.000862576,0.000862576,0.000862576
4,18.819,0.89465,1.11734,2.01697,0.98349,0.78408,0.95242,0.73743,0.6366,2.15478,2.11957,0.00114495,0.00114495,0.00114495
5,23.051,0.84272,0.88566,2.00397,0.78725,0.85526,0.88608,0.69951,0.67205,1.70891,2.30987,0.00142139,0.00142139,0.00142139
6,27.22,0.8699,0.84906,1.98963,0.89712,0.91797,0.95659,0.77327,0.6267,1.15322,2.14259,0.00169189,0.00169189,0.00169189
7,31.302,0.89124,0.81984,2.0397,0.87799,0.85216,0.9343,0.71559,0.7102,1.10565,2.29322,0.0018812,0.0018812,0.0018812
8,35.245,0.85566,0.77698,2.10749,0.76684,0.86553,0.89213,0.71918,0.67854,1.01368,2.25059,0.0018614,0.0018614,0.0018614
9,39.055,0.80371,0.72106,1.97458,0.80076,0.81579,0.86959,0.59032,1.08982,1.05868,2.87361,0.0018416,0.0018416,0.0018416
10,42.908,0.8529,0.70701,2.00648,0.93574,0.82895,0.91865,0.7396,0.76021,0.8234,2.31658,0.0018218,0.0018218,0.0018218
11,46.709,0.79555,0.63886,1.94437,0.9378,0.89474,0.94667,0.78105,0.58207,0.67861,2.1168,0.001802,0.001802,0.001802
12,50.553,0.8084,0.61909,1.89843,0.87062,0.93421,0.92652,0.73539,0.72525,0.83192,2.32105,0.0017822,0.0017822,0.0017822
13,54.35,0.80384,0.64841,1.99534,0.86498,0.84297,0.90818,0.75543,0.57174,0.79643,2.05236,0.0017624,0.0017624,0.0017624
14,58.15,0.75179,0.58687,1.9012,0.91337,0.86842,0.92119,0.73977,0.66558,0.7199,2.27496,0.0017426,0.0017426,0.0017426
15,61.952,0.7309,0.55796,1.9156,0.77485,0.90568,0.89426,0.75325,0.57423,0.69385,2.15507,0.0017228,0.0017228,0.0017228
16,65.76,0.76155,0.57219,1.89471,0.77758,0.93421,0.92141,0.76388,0.64518,0.71386,2.0811,0.001703,0.001703,0.001703
17,69.551,0.76034,0.56915,1.94659,0.92379,0.88158,0.95052,0.79512,0.64123,0.64107,1.93953,0.0016832,0.0016832,0.0016832
18,73.407,0.74643,0.54793,1.86834,0.91631,0.86443,0.95237,0.81367,0.47852,0.57782,1.95378,0.0016634,0.0016634,0.0016634
19,77.229,0.71336,0.52875,1.86895,0.92052,0.91434,0.94632,0.81827,0.45728,0.48108,1.83556,0.0016436,0.0016436,0.0016436
20,81.05,0.69556,0.49683,1.85845,0.90833,0.91265,0.96332,0.83548,0.49225,0.51554,1.84918,0.0016238,0.0016238,0.0016238
21,84.832,0.73016,0.52836,1.89976,0.91075,0.93997,0.96066,0.83974,0.45008,0.51157,1.86454,0.001604,0.001604,0.001604
22,88.661,0.72029,0.51141,1.96321,0.99767,0.93421,0.97361,0.81314,0.53318,0.43242,1.98212,0.0015842,0.0015842,0.0015842
23,92.446,0.70754,0.49976,1.81836,0.88309,0.8945,0.92971,0.79676,0.50363,0.53181,1.99594,0.0015644,0.0015644,0.0015644
24,96.317,0.69509,0.49744,1.81589,0.91681,0.87005,0.96069,0.79344,0.54455,0.54262,2.02041,0.0015446,0.0015446,0.0015446
25,100.099,0.69341,0.50626,1.87743,0.87518,0.92257,0.94929,0.81297,0.46932,0.53339,1.93584,0.0015248,0.0015248,0.0015248
26,103.901,0.71412,0.53268,1.8791,0.89404,0.88821,0.93872,0.84307,0.44222,0.4875,1.83814,0.001505,0.001505,0.001505
27,107.719,0.64473,0.44703,1.79159,0.95168,0.89474,0.95863,0.82983,0.45875,0.51779,1.83158,0.0014852,0.0014852,0.0014852
28,111.534,0.67958,0.48692,1.83565,0.94861,0.90789,0.94101,0.8095,0.48718,0.47804,1.87934,0.0014654,0.0014654,0.0014654
29,115.318,0.66173,0.47401,1.79312,0.96239,0.88158,0.9661,0.81217,0.53658,0.48419,1.86589,0.0014456,0.0014456,0.0014456
30,119.123,0.64431,0.4685,1.75931,0.97894,0.89474,0.95367,0.80949,0.54114,0.45508,2.39581,0.0014258,0.0014258,0.0014258
31,122.919,0.68091,0.47956,1.82774,0.9803,0.86842,0.96164,0.80045,0.61327,0.47633,2.29377,0.001406,0.001406,0.001406
32,126.759,0.68614,0.47919,1.84136,0.971,0.90789,0.97242,0.84444,0.5042,0.38276,2.15977,0.0013862,0.0013862,0.0013862
33,130.566,0.67221,0.45409,1.8411,0.97178,0.89474,0.95544,0.83469,0.44376,0.41542,1.91878,0.0013664,0.0013664,0.0013664
34,134.379,0.66545,0.46055,1.85088,0.89922,0.92105,0.96017,0.81452,0.56112,0.46552,2.18945,0.0013466,0.0013466,0.0013466
35,138.141,0.67156,0.4612,1.82745,0.93055,0.88147,0.93378,0.81495,0.50053,0.50986,1.94584,0.0013268,0.0013268,0.0013268
36,142.012,0.64853,0.44957,1.81417,0.95817,0.90428,0.92826,0.83486,0.44363,0.43237,1.87984,0.001307,0.001307,0.001307
37,145.803,0.6633,0.44133,1.76587,0.93044,0.88003,0.91507,0.81117,0.46704,0.48816,1.88163,0.0012872,0.0012872,0.0012872
38,149.619,0.64999,0.45057,1.801,0.91687,0.88158,0.95158,0.82913,0.43994,0.45998,1.84526,0.0012674,0.0012674,0.0012674
39,153.438,0.64497,0.44694,1.81635,0.88493,0.88158,0.93759,0.79847,0.57568,0.53044,2.22561,0.0012476,0.0012476,0.0012476
40,157.241,0.63992,0.44426,1.81719,0.95386,0.90789,0.97249,0.8304,0.48561,0.44805,2.28847,0.0012278,0.0012278,0.0012278
41,161.06,0.65727,0.44378,1.80762,0.94859,0.89474,0.96934,0.84394,0.4395,0.41549,1.82289,0.001208,0.001208,0.001208
42,164.871,0.64963,0.43823,1.78662,0.89553,0.90235,0.95599,0.82083,0.46972,0.46677,1.88333,0.0011882,0.0011882,0.0011882
43,168.671,0.62678,0.43464,1.79095,0.87269,0.92105,0.95634,0.8587,0.38089,0.41148,1.80492,0.0011684,0.0011684,0.0011684
44,172.678,0.60262,0.42479,1.69278,0.90927,0.93421,0.96752,0.83969,0.43873,0.39816,1.82873,0.0011486,0.0011486,0.0011486
45,176.583,0.60807,0.41921,1.75253,0.91021,0.94737,0.97364,0.86531,0.40316,0.34392,1.8268,0.0011288,0.0011288,0.0011288
46,180.588,0.63561,0.45437,1.7523,0.93092,0.90789,0.94995,0.84026,0.40145,0.38177,1.82495,0.001109,0.001109,0.001109
47,184.593,0.58775,0.41953,1.6866,0.9365,0.86842,0.92594,0.83263,0.41718,0.42084,1.8674,0.0010892,0.0010892,0.0010892
48,188.562,0.61148,0.42974,1.72388,0.94086,0.88158,0.95753,0.85963,0.39779,0.40745,1.90106,0.0010694,0.0010694,0.0010694
49,192.508,0.60952,0.42651,1.78291,0.89778,0.89474,0.95626,0.8425,0.41077,0.40501,1.83741,0.0010496,0.0010496,0.0010496
50,196.556,0.62966,0.44112,1.77292,0.94189,0.86842,0.93887,0.82328,0.42169,0.41279,1.7915,0.0010298,0.0010298,0.0010298
51,200.46,0.61113,0.40714,1.73769,0.89501,0.8974,0.93448,0.82269,0.4155,0.47232,2.06196,0.00101,0.00101,0.00101
52,204.427,0.58942,0.40545,1.72939,0.91631,0.86444,0.94649,0.85207,0.38217,0.43124,1.77631,0.0009902,0.0009902,0.0009902
53,208.281,0.59429,0.40417,1.72868,0.90667,0.89481,0.96817,0.86064,0.41895,0.39109,1.82154,0.0009704,0.0009704,0.0009704
54,212.104,0.59479,0.40903,1.70383,0.91773,0.90789,0.96554,0.84028,0.44332,0.40247,2.00731,0.0009506,0.0009506,0.0009506
55,215.924,0.56014,0.39157,1.6998,0.92001,0.93421,0.95419,0.83993,0.44312,0.41732,1.77925,0.0009308,0.0009308,0.0009308
56,219.738,0.56852,0.40126,1.68968,0.91607,0.89474,0.95264,0.85625,0.39776,0.39583,1.87974,0.000911,0.000911,0.000911
57,223.5,0.59969,0.40158,1.76188,0.96904,0.86842,0.94497,0.83889,0.42984,0.39873,1.93511,0.0008912,0.0008912,0.0008912
58,227.351,0.5418,0.37832,1.66539,0.9419,0.86842,0.96348,0.87935,0.37189,0.37856,1.92844,0.0008714,0.0008714,0.0008714
59,231.137,0.59993,0.41959,1.78273,0.9362,0.89474,0.96745,0.86512,0.40263,0.36497,1.92547,0.0008516,0.0008516,0.0008516
60,234.973,0.58768,0.39397,1.67252,0.94405,0.90789,0.95857,0.85278,0.41834,0.41371,2.00013,0.0008318,0.0008318,0.0008318
61,238.728,0.58545,0.39753,1.73843,0.94434,0.89298,0.94225,0.8594,0.3763,0.41976,1.94283,0.000812,0.000812,0.000812
62,242.534,0.5791,0.41141,1.70894,0.92501,0.86842,0.9444,0.86483,0.37467,0.40586,1.75781,0.0007922,0.0007922,0.0007922
63,246.354,0.57002,0.37697,1.71144,0.92197,0.88158,0.94563,0.85845,0.37675,0.39286,1.71035,0.0007724,0.0007724,0.0007724
64,250.225,0.57103,0.38145,1.74195,0.91847,0.88938,0.94194,0.84415,0.37729,0.40289,1.73255,0.0007526,0.0007526,0.0007526
65,254.005,0.53293,0.37596,1.655,0.93045,0.88018,0.94204,0.83835,0.3754,0.44028,1.70808,0.0007328,0.0007328,0.0007328
66,257.835,0.58001,0.39812,1.73998,0.94783,0.89474,0.9494,0.86001,0.40054,0.42748,1.85108,0.000713,0.000713,0.000713
67,261.632,0.57982,0.40257,1.72433,0.9645,0.86842,0.93119,0.84805,0.36832,0.42339,1.71738,0.0006932,0.0006932,0.0006932
68,265.448,0.53758,0.37096,1.67431,0.96454,0.85526,0.93102,0.83676,0.42305,0.43589,1.94439,0.0006734,0.0006734,0.0006734
69,269.246,0.55937,0.3905,1.70804,0.9234,0.86842,0.91712,0.83979,0.3845,0.43657,1.7597,0.0006536,0.0006536,0.0006536
70,273.044,0.55524,0.38159,1.77516,0.89286,0.89474,0.91928,0.83196,0.3911,0.45634,1.92736,0.0006338,0.0006338,0.0006338
71,276.824,0.55309,0.39138,1.70245,0.94881,0.86842,0.9381,0.82802,0.44132,0.4229,1.89846,0.000614,0.000614,0.000614
72,280.707,0.52946,0.35749,1.67132,0.89447,0.89219,0.93951,0.84521,0.38624,0.39855,1.77607,0.0005942,0.0005942,0.0005942
73,284.509,0.55912,0.37894,1.72096,0.93602,0.88158,0.94384,0.86038,0.37281,0.39406,1.80461,0.0005744,0.0005744,0.0005744
74,288.334,0.52676,0.35561,1.66677,0.95204,0.90789,0.94326,0.83216,0.41933,0.38924,1.88629,0.0005546,0.0005546,0.0005546
75,292.157,0.56724,0.38821,1.71621,0.92504,0.92105,0.94613,0.83121,0.37147,0.40767,1.75673,0.0005348,0.0005348,0.0005348
76,295.965,0.50954,0.34976,1.62895,0.89846,0.90789,0.94166,0.8222,0.38853,0.41586,1.75484,0.000515,0.000515,0.000515
77,299.806,0.50341,0.36071,1.59068,0.92874,0.89474,0.94047,0.84151,0.39341,0.41283,1.89329,0.0004952,0.0004952,0.0004952
78,303.653,0.52553,0.36384,1.65481,0.9628,0.86842,0.93447,0.8383,0.37775,0.43187,1.92283,0.0004754,0.0004754,0.0004754
79,307.418,0.5366,0.36891,1.64496,0.91421,0.90789,0.93743,0.85644,0.3732,0.37689,1.72683,0.0004556,0.0004556,0.0004556
80,311.254,0.53075,0.37178,1.68134,0.93305,0.91691,0.94644,0.84836,0.43162,0.37639,2.22629,0.0004358,0.0004358,0.0004358
81,315.05,0.52955,0.36803,1.67706,0.92038,0.91266,0.94748,0.85399,0.37436,0.35529,1.7759,0.000416,0.000416,0.000416
82,318.836,0.53199,0.36104,1.6979,0.92509,0.89474,0.93548,0.85556,0.3591,0.39301,1.79808,0.0003962,0.0003962,0.0003962
83,322.638,0.51849,0.35025,1.6403,0.94871,0.89474,0.93819,0.85543,0.35348,0.39069,1.72105,0.0003764,0.0003764,0.0003764
84,326.455,0.49973,0.34131,1.64906,0.95373,0.88158,0.936,0.8542,0.35389,0.37407,1.70926,0.0003566,0.0003566,0.0003566
85,330.223,0.51674,0.3565,1.62245,0.93146,0.89414,0.92977,0.86201,0.37311,0.3884,1.70136,0.0003368,0.0003368,0.0003368
86,334.07,0.50764,0.35506,1.66776,0.94325,0.87484,0.93466,0.85726,0.38278,0.39326,1.94462,0.000317,0.000317,0.000317
87,337.868,0.53384,0.36294,1.68547,0.94235,0.88158,0.9358,0.83779,0.399,0.40931,1.83325,0.0002972,0.0002972,0.0002972
88,341.666,0.52266,0.34846,1.63539,0.95408,0.88158,0.93726,0.84057,0.39622,0.39991,1.76384,0.0002774,0.0002774,0.0002774
89,345.49,0.48304,0.34119,1.62499,0.93491,0.85526,0.92216,0.84504,0.37317,0.3902,1.73139,0.0002576,0.0002576,0.0002576
90,349.299,0.51647,0.35767,1.70576,0.93848,0.85526,0.9297,0.85289,0.37686,0.39899,1.83948,0.0002378,0.0002378,0.0002378
91,377.456,0.31017,0.27363,1.26618,0.95517,0.86842,0.93916,0.84663,0.3867,0.39043,1.7523,0.000218,0.000218,0.000218
92,381.39,0.32745,0.25519,1.32898,0.95867,0.91568,0.94869,0.84992,0.40343,0.37369,1.77543,0.0001982,0.0001982,0.0001982
93,385.165,0.32271,0.23361,1.28962,0.96171,0.86842,0.94412,0.85783,0.40372,0.37951,1.75737,0.0001784,0.0001784,0.0001784
94,388.949,0.29505,0.23219,1.25644,0.91996,0.9074,0.94352,0.85298,0.38649,0.37778,1.75775,0.0001586,0.0001586,0.0001586
95,392.701,0.29702,0.22939,1.21235,0.90889,0.91885,0.94537,0.8488,0.41815,0.39406,1.86903,0.0001388,0.0001388,0.0001388
96,396.474,0.29676,0.21802,1.25223,0.9136,0.92105,0.95076,0.86491,0.37882,0.36809,1.6699,0.000119,0.000119,0.000119
97,400.263,0.28242,0.21531,1.2221,0.91821,0.93421,0.95308,0.85863,0.36393,0.34505,1.68303,9.92e-05,9.92e-05,9.92e-05
98,404.088,0.28308,0.21551,1.20933,0.9376,0.90789,0.95172,0.86361,0.37392,0.34815,1.67004,7.94e-05,7.94e-05,7.94e-05
99,407.834,0.28785,0.21952,1.23955,0.93057,0.92105,0.94822,0.85844,0.37309,0.34436,1.6791,5.96e-05,5.96e-05,5.96e-05
100,411.64,0.30318,0.22582,1.27367,0.92954,0.92105,0.94646,0.85186,0.38773,0.3636,1.71337,3.98e-05,3.98e-05,3.98e-05
